Fecha,Descripción,Categoría,Monto,Tipo
01/28/25,", Inc.",Otros,25.5,Ingreso
01/28/25,From  A,Otros,15.0,Ingreso
01/29/25,"From For ""Bi""; Conf",Otros,153.0,Ingreso
01/29/25,Cash App*Juan 01/29 # Pmnt Rcvd Cash App*Juan Gar,Otros,14.74,Ingreso
01/31/25,Atm 01/31 #   At New Tam,Otros,292.0,Ingreso
01/31/25,From,Otros,200.0,Ingreso
01/31/25,Inc,Otros,143.47,Ingreso
01/31/25,From,Otros,8.0,Ingreso
01/31/25,Inc,Otros,0.87,Ingreso
01/31/25,Inc,Otros,0.01,Ingreso
02/03/25,From,Otros,150.0,Ingreso
02/03/25,Inc,Otros,0.87,Ingreso
02/03/25,Inc,Otros,0.87,Ingreso
02/04/25,Co  Pmt,Otros,150.0,Ingreso
02/06/25,From,Otros,410.0,Ingreso
02/07/25,From  A,Otros,100.0,Ingreso
02/07/25,Inc,Otros,22.44,Ingreso
02/07/25,Digi* Zp4B,Otros,0.11,Ingreso
02/10/25,Co  Pmt,Otros,150.0,Ingreso
02/10/25,Co  Pmt,Otros,70.0,Ingreso
02/19/25,Co  Pmt,Otros,150.0,Ingreso
02/20/25,Co  Pmt,Otros,1042.2,Ingreso
02/20/25,Pa,Otros,81.0,Ingreso
02/20/25,From,Otros,75.0,Ingreso
02/20/25,From Anna,Otros,48.0,Ingreso
